-0.41001261  1.33230842  1.63021604  0.84404876 -1.29860003  0.08192193
1.42569108 -1.93147444 -0.61778088  1.35291824 -0.75510445  0.60413512
0.45284081  0.46682286  1.26996222 -1.41965277  0.59580814 -1.28873703
-2.58381761  0.80158401  1.57968276 -0.53085921 -0.56062761 -0.58894799
-0.53433187  0.64234934  0.23271021 -0.22609551  1.65317777 -1.13025304
0.33114366 -1.25821314 -0.18150637 -0.82525601  1.08775854 -0.13147499
0.97426806 -1.03350932  0.31808374 -1.71980293  0.6777658  -0.08013457
-1.04121892  0.66983833 -0.62711508  1.11267128  0.26836619  1.93216426
0.80757131 -1.28212429  0.22242359 -0.55485708 -1.78433009  1.34026328
-0.97968421 -0.76446588 -0.2634881  -0.93573324  0.81160305  1.89562213
